player_id,from_id,to_id,date
649452,354,281,2020-07-29
649452,123,354,2019-08-28
42412,1003,985,2023-07-18
42412,984,1003,2018-07-01
42412,985,984,2015-08-29
42412,123,985,2008-05-12
42412,985,123,2008-01-04
42412,123,985,2007-05-07
42412,985,123,2007-01-01
42412,1096,985,2006-12-01
42412,985,1096,2006-08-01
42412,123,985,2006-07-01
225452,281,123,2022-01-21
225452,1095,281,2022-01-20
225452,281,1095,2021-08-31
225452,123,281,2021-05-31
225452,281,123,2021-02-01
225452,123,281,2021-01-31
225452,281,123,2020-10-12
225452,123,281,2020-07-31
225452,281,123,2020-01-02
225452,1123,281,2020-01-01
225452,281,1123,2019-07-01
225452,12321,281,2019-06-30
225452,281,12321,2018-08-16
225452,123,281,2018-05-21
225452,281,123,2017-08-28
225452,123,281,2017-05-31
225452,281,123,2016-02-01
225452,931,281,2015-07-19
225452,123,931,2014-07-01
668547,472,281,2024-06-30
668547,281,472,2023-08-23
668547,1029,281,2023-01-23
668547,123,1029,2022-01-01
601883,543,281,2023-09-01
601883,336,543,2022-08-18
601883,123,336,2020-05-01
601883,1465,123,2019-01-31
601883,123,1465,2018-07-01
176553,281,18544,2023-08-24
176553,621,281,2018-01-30
176553,123,621,2012-12-17
201574,180,1123,2021-07-01
201574,123,180,2021-05-31
201574,180,123,2020-10-16
201574,281,180,2018-07-10
201574,1123,281,2018-05-31
201574,281,1123,2017-07-01
201574,123,281,2016-07-01
238223,294,281,2017-07-01
238223,2425,294,2015-07-01
238223,123,2425,2012-07-01
484551,1237,123,2023-07-01
484551,123,1237,2023-05-31
484551,1237,123,2022-07-22
484551,123,1237,2022-05-31
484551,1237,123,2022-01-07
484551,123,1237,2021-07-01
157495,281,1158,2023-07-19
157495,162,281,2017-07-24
157495,244,162,2016-07-01
157495,738,244,2013-07-09
157495,123,738,2011-07-01
627228,12321,281,2024-06-30
627228,281,12321,2022-07-25
627228,1075,281,2022-06-30
627228,281,1075,2021-08-21
627228,12321,281,2021-06-30
627228,281,12321,2020-09-25
627228,123,281,2020-07-01
503977,281,180,2024-07-01
503977,180,281,2024-05-31
503977,281,180,2023-09-01
503977,1132,281,2023-05-31
503977,281,1132,2022-07-01
503977,123,281,2022-05-31
503977,281,123,2022-01-11
503977,58,281,2022-01-10
503977,281,58,2021-07-01
503977,123,281,2021-05-31
503977,281,123,2021-02-01
503977,123,281,2021-01-01
628451,180,631,2023-08-18
628451,123,180,2022-07-06
203460,405,281,2021-08-05
203460,123,405,2014-05-04
203460,405,123,2013-09-13
203460,123,405,2013-07-01
363205,281,11,2022-07-04
363205,1023,281,2017-01-01
363205,123,1023,2015-01-01
701057,123,281,2022-07-01
182712,131,281,2024-06-30
182712,281,131,2023-09-01
182712,27,281,2023-06-30
182712,281,27,2023-01-31
182712,506,281,2019-08-07
182712,1049,506,2018-07-01
182712,46,1049,2018-06-30
182712,1049,46,2017-08-22
182712,294,1049,2015-07-01
182712,1049,294,2015-06-30
182712,294,1049,2014-08-20
182712,123,294,2014-07-01
357565,13,281,2019-07-04
357565,1050,13,2018-07-01
357565,123,1050,2016-07-01
171424,281,18487,2023-07-28
171424,1003,281,2018-07-10
171424,738,1003,2014-01-11
171424,123,738,2011-07-01
466794,12321,131,2024-06-30
466794,131,12321,2023-09-01
466794,281,131,2021-07-01
466794,123,281,2019-07-01
5285,379,123,2018-05-31
5285,123,379,2018-02-07
5285,244,123,2017-11-10
5285,506,244,2017-01-25
5285,985,506,2014-07-21
5285,162,985,2006-01-10
5285,417,162,2002-07-01
5285,2919,417,2000-07-01
5285,123,2919,1999-07-01
295330,1003,123,2024-07-01
295330,281,1003,2017-08-03
